"Date","CH4N"
2112,186.197112845744
2113,186.197112845744
2114,186.197112845744
2115,186.197112845744
2116,186.197112845744
2117,186.197112845744
2118,186.197112845744
2119,186.197112845744
2120,186.197112845744
2121,186.197112845744
2122,186.197112845744
2123,186.197112845744
2124,186.197112845744
2125,186.197112845744
2126,186.197112845744
2127,186.197112845744
2128,186.197112845744
2129,186.197112845744
2130,186.197112845744
2131,186.197112845744
2132,186.197112845744
2133,186.197112845744
2134,186.197112845744
2135,186.197112845744
2136,186.197112845744
2137,186.197112845744
2138,186.197112845744
2139,186.197112845744
2140,186.197112845744
2141,186.197112845744
2142,186.197112845744
2143,186.197112845744
2144,186.197112845744
2145,186.197112845744
2146,186.197112845744
2147,186.197112845744
2148,186.197112845744
2149,186.197112845744
2150,186.197112845744
2151,186.197112845744
2152,186.197112845744
2153,186.197112845744
2154,186.197112845744
2155,186.197112845744
2156,186.197112845744
2157,186.197112845744
2158,186.197112845744
2159,186.197112845744
2160,186.197112845744
2161,186.197112845744
2162,186.197112845744
2163,186.197112845744
2164,186.197112845744
2165,186.197112845744
2166,186.197112845744
2167,186.197112845744
2168,186.197112845744
2169,186.197112845744
2170,186.197112845744
2171,186.197112845744
2172,186.197112845744
2173,186.197112845744
2174,186.197112845744
2175,186.197112845744
2176,186.197112845744
2177,186.197112845744
2178,186.197112845744
2179,186.197112845744
2180,186.197112845744
2181,186.197112845744
2182,186.197112845744
2183,186.197112845744
2184,186.197112845744
2185,186.197112845744
2186,186.197112845744
2187,186.197112845744
2188,186.197112845744
2189,186.197112845744
2190,186.197112845744
2191,186.197112845744
2192,186.197112845744
2193,186.197112845744
2194,186.197112845744
2195,186.197112845744
2196,186.197112845744
2197,186.197112845744
2198,186.197112845744
2199,186.197112845744
2200,186.197112845744
2201,186.197112845744
2202,186.197112845744
2203,186.197112845744
2204,186.197112845744
2205,186.197112845744
2206,186.197112845744
2207,186.197112845744
2208,186.197112845744
2209,186.197112845744
2210,186.197112845744
2211,186.197112845744
2212,186.197112845744
2213,186.197112845744
2214,186.197112845744
2215,186.197112845744
2216,186.197112845744
2217,186.197112845744
2218,186.197112845744
2219,186.197112845744
2220,186.197112845744
2221,186.197112845744
2222,186.197112845744
2223,186.197112845744
2224,186.197112845744
2225,186.197112845744
2226,186.197112845744
2227,186.197112845744
2228,186.197112845744
2229,186.197112845744
2230,186.197112845744
2231,186.197112845744
2232,186.197112845744
2233,186.197112845744
2234,186.197112845744
2235,186.197112845744
2236,186.197112845744
2237,186.197112845744
2238,186.197112845744
2239,186.197112845744
2240,186.197112845744
2241,186.197112845744
2242,186.197112845744
2243,186.197112845744
2244,186.197112845744
2245,186.197112845744
2246,186.197112845744
2247,186.197112845744
2248,186.197112845744
2249,186.197112845744
2250,186.197112845744
2251,186.197112845744
2252,186.197112845744
2253,186.197112845744
2254,186.197112845744
2255,186.197112845744
2256,186.197112845744
2257,186.197112845744
2258,186.197112845744
2259,186.197112845744
2260,186.197112845744
2261,186.197112845744
2262,186.197112845744
2263,186.197112845744
2264,186.197112845744
2265,186.197112845744
2266,186.197112845744
2267,186.197112845744
2268,186.197112845744
2269,186.197112845744
2270,186.197112845744
2271,186.197112845744
2272,186.197112845744
2273,186.197112845744
2274,186.197112845744
2275,186.197112845744
2276,186.197112845744
2277,186.197112845744
2278,186.197112845744
2279,186.197112845744
2280,186.197112845744
2281,186.197112845744
2282,186.197112845744
2283,186.197112845744
2284,186.197112845744
2285,186.197112845744
2286,186.197112845744
2287,186.197112845744
2288,186.197112845744
2289,186.197112845744
2290,186.197112845744
2291,186.197112845744
2292,186.197112845744
2293,186.197112845744
2294,186.197112845744
2295,186.197112845744
2296,186.197112845744
2297,186.197112845744
2298,186.197112845744
2299,186.197112845744
2300,186.197112845744
